city_id,pop_sum,pop_susceptible,pop_exposed,pop_infected,pop_recovered
632500,472363.1379,472363.1379,0,0,0
632800,488378.1885,488378.1885,0,0,0
640100,2209646.407,2209646.407,0,0,0
640200,801689.6634,801689.6634,0,0,0
640300,1405798.998,1405798.998,0,0,0
640400,1316035.808,1316035.808,0,0,0
640500,1181598.031,1181598.031,0,0,0
650100,3646713.719,3646713.719,0,0,0
650200,459650.4609,459650.4609,0,0,0
650400,711096.4967,711096.4967,0,0,0
650500,659502.511,659502.511,0,0,0
652300,1597220.741,1597220.741,0,0,0
652700,458948.0977,458948.0977,0,0,0
652800,1410246.974,1410246.974,0,0,0
652900,2703056.088,2703056.088,0,0,0
653100,4658902.909,4658902.909,0,0,0
653200,2282210.952,2282210.952,0,0,0
654000,2775694.668,2775694.668,0,0,0
654200,1311931.708,1311931.708,0,0,0
654300,659607.7194,659607.7194,0,0,0
659001,698466.6226,698466.6226,0,0,0
659002,398427.9618,398427.9618,0,0,0
659004,139303.6639,139303.6639,0,0,0
820000,100,100,0,0,0
810000,100,100,0,0,0
370116,100,100,0,0,0
