city_id,pop_sum,pop_susceptible,pop_exposed,pop_infected,pop_recovered
510600,3751189,3751189,0,0,0
510700,4819279,4819279,0,0,0
510800,2605705,2605705,0,0,0
510900,3379600,3379600,0,0,0
511000,3841629,3841629,0,0,0
511100,3360597,3360597,0,0,0
511300,6521631,6521631,0,0,0
511400,3055454,3055454,0,0,0
511500,4639480,4639480,0,0,0
511600,3328033,3328033,0,0,0
511700,5673789,5673789,0,0,0
511800,1566502,1566502,0,0,0
511900,3411786,3411786,0,0,0
512000,3789243,3789243,0,0,0
513200,946466,946466,0,0,0
513300,1169172,1169172,0,0,0
513400,4814044,4814044,0,0,0
520100,4566775,4566775,0,0,0
520200,3050818,3050818,0,0,0
520300,6548631,6548631,0,0,0
520400,2461627,2461627,0,0,0
520500,6970081,6970081,0,0,0
520600,3294830,3294830,0,0,0
522300,3010754,3010754,0,0,0
522600,3718932,3718932,0,0,0
522700,3474973,3474973,0,0,0
530100,6993998,6993998,0,0,0
530300,6348711,6348711,0,0,0
530400,2488165,2488165,0,0,0
530500,2715748,2715748,0,0,0
530600,5682939,5682939,0,0,0
530700,1343719,1343719,0,0,0
530800,2746603,2746603,0,0,0
530900,2629029,2629029,0,0,0
532300,2887444,2887444,0,0,0
532500,4869651,4869651,0,0,0
532600,3794237,3794237,0,0,0
532800,1224207,1224207,0,0,0
532900,3729488,3729488,0,0,0
533100,1321472,1321472,0,0,0
533300,574409,574409,0,0,0
533400,431008,431008,0,0,0
540100,664303,664303,0,0,0
540400,231687,231687,0,0,0
610100,9187696,9187696,0,0,0
610200,888868,888868,0,0,0
610300,3952658,3952658,0,0,0
610400,5385894,5385894,0,0,0
610500,5624138,5624138,0,0,0
610600,2351723,2351723,0,0,0
610700,3611916,3611916,0,0,0
610800,3571571,3571571,0,0,0
610900,2787357,2787357,0,0,0
611000,2485513,2485513,0,0,0
620100,3844937,3844937,0,0,0
620200,252440,252440,0,0,0
620300,489557,489557,0,0,0
620400,1802489,1802489,0,0,0
620500,3463087,3463087,0,0,0
620600,1909292,1909292,0,0,0
620700,1274319,1274319,0,0,0
620800,2191743,2191743,0,0,0
